VIP_Score;Reg_Coefficient;Shap;Permutation;LRC_perturbation;LRC_covariance
Fe ka;Fe ka;Fe ka;Fe ka;Fe ka;Fe ka
Fe kb;Ti ka;Ca ka;Ca ka;Ca ka;Fe kb
Ti ka;Ca ka;Ti ka;Ti ka;Ti ka;Mn
Ca ka;Fe kb;Mn;Fe kb;Fe kb;sum Fe
Mn;Mn;Fe kb;Mn;Mn;Ca ka
sum Fe;Al;Rh L + Ar;Al;Al;Cr
Ti kb;Rh L + Ar;Cr;Ti kb;Ti kb;Si
Al;Ca kb;S;Ca kb;Si;Ti kb
Si;Ti kb;Al;sum Fe;Rh L + Ar;Rh L + Ar
Cr;K;P;Rh L + Ar;sum Fe;Ti ka
Rh L + Ar;Cu;;K;Ca kb;Cu
Cu;background1;Ca kb;Cu;Cu;Al
Ca kb;sum Fe;K;Cr;K;Ca kb
K;Cr;Si;Si;background1;background1
background1;P;Fe ka + Ti ka;P;Fe ka + Ti ka;background2
P;Zn;sum Fe;background1;P;K
Fe ka + Ti ka;Ni;background2;Fe ka + Ti ka;Zn;Fe ka + Ti ka
Zn;background2;Ni;Zn;Ni;P
Ni;Fe ka + Ti ka;Zn;Ni;background2;Zn
background2;S;Cu;background2;Cr;Ni
S;Si;background1;S;S;S
;;Ti kb;;;
