Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
Fe ka > -9.83;18.15035376130887;Fe ka;-9.83;>;-178.95297536586634;247.0;0.001730907184954944;Fe ka > -178.952975
Fe ka <= 11.65;17.850936255555965;Fe ka;11.65;<=;188.78650221401608;94.0;0.001158442764713996;Fe ka <= 188.786502
Fe ka > -5.77;13.578403903548443;Fe ka;-5.77;>;-103.04657895105754;408.0;0.004763396718140633;Fe ka > -103.046579
Fe ka <= 4.25;9.467533300664751;Fe ka;4.25;<=;87.0453868816328;38.0;0.0010789997994464784;Fe ka <= 87.045387
Fe kb > -3.67;7.874621387196054;Fe kb;-3.67;>;-25.19416802083603;311.0;0.0018423701153165162;Fe kb > -25.194168
Fe kb <= 4.31;7.468285333113264;Fe kb;4.31;<=;30.906551916957227;219.0;0.0021489773700462678;Fe kb <= 30.906552
Fe kb > -2.08;5.878113045784348;Fe kb;-2.08;>;-13.041087943859765;405.0;0.00017172530202236302;Fe kb > -13.041088
Fe kb <= 1.44;4.3110301922135275;Fe kb;1.44;<=;8.701135138862327;202.0;0.0021945242928167463;Fe kb <= 8.701135
Mn > -1.21;2.886596209781015;Mn;-1.21;>;-2.2057814319545788;388.0;0.0007100217233659833;Mn > -2.205781
sum Fe > -1.11;1.6777441018368746;sum Fe;-1.11;>;-1.4021191802413115;321.0;0.0025293816844502715;sum Fe > -1.402119
sum Fe <= 1.27;1.5855145754627147;sum Fe;1.27;<=;1.6038338333385163;114.0;0.0026955109813318057;sum Fe <= 1.603834
Mn <= 1.02;1.4444942210250147;Mn;1.02;<=;1.6999069683857773;245.0;0.0029224419069937557;Mn <= 1.699907
Fe ka <= -5.77;1.3493117372074674;Fe ka;-5.77;<=;-103.04657895105754;408.0;0.004763396718140633;Fe ka <= -103.046579
Ca ka > -1.89;1.2499612809426965;Ca ka;-1.89;>;-3.18132501270129;275.0;0.0007309831903119512;Ca ka > -3.181325
Cr <= 0.70;1.2331614102872461;Cr;0.70;<=;0.9287284914033442;193.0;0.0026008334043555736;Cr <= 0.928728
Si > -1.03;1.2053539789071297;Si;-1.03;>;-3.332648472221379;130.0;0.0004465640167987672;Si > -3.332648
Ti kb > -1.01;1.1921825391625829;Ti kb;-1.01;>;-2.8694954177935514;6.0;0.0007067805765910151;Ti kb > -2.869495
Ti kb <= 1.01;1.1694429496128982;Ti kb;1.01;<=;3.4228182628395096;63.0;0.00026763527534057197;Ti kb <= 3.422818
Rh L + Ar > -0.69;1.1506586222832436;Rh L + Ar;-0.69;>;-1.7593511638405204;415.0;0.00190787524011915;Rh L + Ar > -1.759351
Cr > -0.67;1.1436391866349922;Cr;-0.67;>;-0.9229359843955471;267.0;0.0020105000873660295;Cr > -0.922936
Rh L + Ar <= 0.76;1.113390285976214;Rh L + Ar;0.76;<=;2.0492315557751475;213.0;0.0009307681984351834;Rh L + Ar <= 2.049232
Ca ka > -1.23;1.052749878075217;Ca ka;-1.23;>;-2.1717944945843985;176.0;0.00018333887257093728;Ca ka > -2.171794
Ti ka > -1.99;1.0439696945491188;Ti ka;-1.99;>;-11.457269112520379;270.0;0.0030973185980496254;Ti ka > -11.457269
sum Fe > -0.60;1.031135605980244;sum Fe;-0.60;>;-0.7248397859917564;262.0;0.0010048313568468137;sum Fe > -0.724840
Ti ka > 0.61;1.005611443291937;Ti ka;0.61;>;4.748205218535219;452.0;0.00027935039807613915;Ti ka > 4.748205
Si <= 1.00;0.9264652020062887;Si;1.00;<=;2.8484866480168662;225.0;0.00024669815607070156;Si <= 2.848487
Ti ka > -0.55;0.9225383058707883;Ti ka;-0.55;>;-1.7345456752534005;359.0;0.00461242771298076;Ti ka > -1.734546
Fe ka > 4.25;0.9222655437232923;Fe ka;4.25;>;87.0453868816328;38.0;0.0010789997994464784;Fe ka > 87.045387
Mn > -0.74;0.922255972429278;Mn;-0.74;>;-1.341318302367272;453.0;0.000275216178454718;Mn > -1.341318
Ca ka > -0.35;0.7946330517677807;Ca ka;-0.35;>;-0.603727365337436;107.0;0.004659354829044116;Ca ka > -0.603727
Ti kb > -0.36;0.6270920992651254;Ti kb;-0.36;>;-0.8394490761626763;388.0;0.0017176356394845715;Ti kb > -0.839449
Mn <= 0.30;0.625192191603896;Mn;0.30;<=;0.46506037875553474;12.0;0.00025284250716750556;Mn <= 0.465060
sum Fe <= 0.39;0.5518660173659551;sum Fe;0.39;<=;0.506287936145668;5.0;0.0003114880065743231;sum Fe <= 0.506288
Cu <= 0.48;0.5182203902173428;Cu;0.48;<=;0.5044535945197697;161.0;0.0001200916721710854;Cu <= 0.504454
Rh L + Ar > -0.44;0.5040119947233567;Rh L + Ar;-0.44;>;-1.2339020432937247;479.0;0.0016081363879095756;Rh L + Ar > -1.233902
Cu > -0.46;0.4788473200603889;Cu;-0.46;>;-0.48891607633561396;439.0;0.00024888072548195916;Cu > -0.488916
Si > -0.46;0.46964843592194955;Si;-0.46;>;-1.0490541528708874;480.0;0.0009934217406322166;Si > -1.049054
Fe kb <= -2.08;0.4579441032149091;Fe kb;-2.08;<=;-13.041087943859765;405.0;0.00017172530202236302;Fe kb <= -13.041088
