Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
F1 > 0.67;9.005742087683224;F1;0.67;>;0.6748145005323758;174.0;0.004814500532375754;F1 > 0.674815
F1 > -2.43;6.928331665216625;F1;-2.43;>;-2.4302717918594205;18.0;0.0002717918594203894;F1 > -2.430272
F1 > -2.47;5.431964680202066;F1;-2.47;>;-2.469279690201194;70.0;0.0007203097988073281;F1 > -2.469280
F5 > 0.75;4.289533395074959;F5;0.75;>;0.7514827277200309;52.0;0.0014827277200312183;F5 > 0.751483
F5 > -1.79;3.4348049065569572;F5;-1.79;>;-1.7893030447360732;178.0;0.0006969552639282117;F5 > -1.789303
F5 > -1.83;2.9600292695842736;F5;-1.83;>;-1.830282528686325;186.0;0.00028252868632261396;F5 > -1.830283
F1 <= 2.88;2.6385383231309283;F1;2.88;<=;2.877524685562338;163.0;0.0024753144376608027;F1 <= 2.877525
F5 <= 2.10;2.2156175183547253;F5;2.10;<=;2.099612182484984;76.0;0.0003878175150173746;F5 <= 2.099612
F5 <= -1.79;1.8166596436702647;F5;-1.79;<=;-1.7893030447360732;178.0;0.0006969552639282117;F5 <= -1.789303
F6 > 1.18;1.7828644781130718;F6;1.18;>;1.1808510984856542;44.0;0.0008510984856540116;F6 > 1.180851
F5 <= 0.75;1.4261648772608524;F5;0.75;<=;0.7514827277200309;52.0;0.0014827277200312183;F5 <= 0.751483
F6 > 0.11;1.096900686602483;F6;0.11;>;0.10912815703409585;112.0;0.0008718429659038823;F6 > 0.109128
F4 > 0.28;0.7936524512991162;F4;0.28;>;0.28209833545195373;26.0;0.0020983354519531483;F4 > 0.282098
F1 <= 0.67;0.7386262572153419;F1;0.67;<=;0.6748145005323758;174.0;0.004814500532375754;F1 <= 0.674815
F3 > 0.27;0.733681968968152;F3;0.27;>;0.2711046521631279;58.0;0.0011046521631276618;F3 > 0.271105
F6 <= -1.37;0.7228376606313082;F6;-1.37;<=;-1.370059963016235;175.0;5.996301623545364e-05;F6 <= -1.370060
F2 > 0.21;0.6219419502910761;F2;0.21;>;0.21265160537059297;53.0;0.002651605370593224;F2 > 0.212652
F6 <= -0.58;0.5948316249529595;F6;-0.58;<=;-0.5791141824948304;144.0;0.0008858175051693618;F6 <= -0.579114
F6 > -0.58;0.5475953424175735;F6;-0.58;>;-0.5791141824948304;144.0;0.0008858175051693618;F6 > -0.579114
F4 <= -0.67;0.5022176087705248;F4;-0.67;<=;-0.6693820240864409;42.0;0.0006179759135584995;F4 <= -0.669382
F3 <= -0.44;0.4853110546494219;F3;-0.44;<=;-0.4400067962233734;87.0;6.7962233726848176e-06;F3 <= -0.440007
F4 > -0.67;0.4811203058613672;F4;-0.67;>;-0.6693820240864409;42.0;0.0006179759135584995;F4 > -0.669382
F6 > -1.37;0.47199688713919014;F6;-1.37;>;-1.370059963016235;175.0;5.996301623545364e-05;F6 > -1.370060
F2 <= -0.54;0.45771760042670195;F2;-0.54;<=;-0.5397182313341011;77.0;0.00028176866589846306;F2 <= -0.539718
F4 > -1.63;0.4437431919531994;F4;-1.63;>;-1.6314394344332714;56.0;0.001439434433271547;F4 > -1.631439
F6 <= 0.11;0.37476626672468116;F6;0.11;<=;0.10912815703409585;112.0;0.0008718429659038823;F6 <= 0.109128
F2 > -0.54;0.3714888598106174;F2;-0.54;>;-0.5397182313341011;77.0;0.00028176866589846306;F2 > -0.539718
F3 > -0.44;0.3651818130660796;F3;-0.44;>;-0.4400067962233734;87.0;6.7962233726848176e-06;F3 > -0.440007
