Node;Local_Reaching_Centrality;Zone;Threshold;Operator;Threshold_Natural;Reference_Sample_Index;Approximation_Error;Node_Natural
K ka <= -0.48;8.229975231095253;K ka;-0.48;<=;-0.5530037290491615;18.0;0.004092283291744936;K ka <= -0.553004
K ka <= -0.16;7.325508542939586;K ka;-0.16;<=;-0.1883424377242589;19.0;0.000300713671025965;K ka <= -0.188342
Rb ka + Br kb > -0.02;6.519672211817873;Rb ka + Br kb;-0.02;>;-0.003744271027319728;27.0;0.0007290866009028486;Rb ka + Br kb > -0.003744
K ka <= 0.20;4.667925190229388;K ka;0.20;<=;0.2540422165665514;24.0;0.00419236186861921;K ka <= 0.254042
K ka <= 0.44;3.5376906510520225;K ka;0.44;<=;0.5221139741195835;34.0;0.001977662914902978;K ka <= 0.522114
K ka > 0.44;3.4659784428798104;K ka;0.44;>;0.5221139741195835;34.0;0.001977662914902978;K ka > 0.522114
Rh ka Compton <= -0.39;3.427443572084717;Rh ka Compton;-0.39;<=;-0.34597265719891673;25.0;0.002620268457299124;Rh ka Compton <= -0.345973
Rb ka + Br kb > -0.12;3.4013390802010637;Rb ka + Br kb;-0.12;>;-0.06236145666175616;9.0;0.0020808586582180266;Rb ka + Br kb > -0.062361
Rb ka + Br kb > -0.28;2.977338515417167;Rb ka + Br kb;-0.28;>;-0.13652332318262622;0.0;0.0001984067801824585;Rb ka + Br kb > -0.136523
K ka > -0.48;2.953467109001253;K ka;-0.48;>;-0.5530037290491615;18.0;0.004092283291744936;K ka > -0.553004
Rb ka + Br kb <= -0.28;2.858294935336249;Rb ka + Br kb;-0.28;<=;-0.13652332318262622;0.0;0.0001984067801824585;Rb ka + Br kb <= -0.136523
Rh ka Compton <= -0.05;2.753178454395251;Rh ka Compton;-0.05;<=;-0.043040153599719425;26.0;0.001277339243340253;Rh ka Compton <= -0.043040
background2 <= -0.23;2.3886578765170547;background2;-0.23;<=;-0.08241122374671678;14.0;2.6704419541889735e-05;background2 <= -0.082411
K ka > -0.16;2.3583611624622978;K ka;-0.16;>;-0.1883424377242589;19.0;0.000300713671025965;K ka > -0.188342
K ka > 0.20;2.292874416315692;K ka;0.20;>;0.2540422165665514;24.0;0.00419236186861921;K ka > 0.254042
Rh ka Compton <= 0.14;2.0511320107332356;Rh ka Compton;0.14;<=;0.12874896917652345;0.0;0.002249824427867697;Rh ka Compton <= 0.128749
Rb ka + Br kb <= 0.14;2.0144014110396626;Rb ka + Br kb;0.14;<=;0.06799395113647248;33.0;0.0002834517978555773;Rb ka + Br kb <= 0.067994
Rh ka Compton <= 0.45;1.9337963214191995;Rh ka Compton;0.45;<=;0.421114080452978;2.0;0.002151522945430029;Rh ka Compton <= 0.421114
Rb ka + Br kb <= -0.12;1.9191750751164107;Rb ka + Br kb;-0.12;<=;-0.06236145666175616;9.0;0.0020808586582180266;Rb ka + Br kb <= -0.062361
background3 <= -0.26;1.9159633037805233;background3;-0.26;<=;-0.1075137628786896;18.0;0.0026025015705421484;background3 <= -0.107514
Rh ka Compton > 0.14;1.746278771347646;Rh ka Compton;0.14;>;0.12874896917652345;0.0;0.002249824427867697;Rh ka Compton > 0.128749
